Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
CCG,Cheche Group Inc,Communication Services,Internet Content & Information,China,63010000.0,,0.78,0.0097,111876.0
CCIF,Carlyle Credit Income Fund,Financial,Closed-End Fund - Debt,USA,123010000.0,21.7,6.51,-0.0031,113077.0
CCLD,CareCloud Inc,Healthcare,Health Information Services,USA,91410000.0,,2.16,-0.035699999999999996,182077.0
CCRD,CoreCard Corporation,Technology,Software - Application,USA,229940000.0,34.37,29.53,-0.0104,71364.0
CDLX,Cardlytics Inc,Communication Services,Advertising Agencies,USA,84000000.0,,1.6,-0.0643,452796.0
CDXS,Codexis Inc,Healthcare,Biotechnology,USA,186400000.0,,2.25,-0.0466,596666.0
CDZI,Cadiz Inc,Utilities,Utilities - Regulated Water,USA,231710000.0,,2.83,-0.0191,249880.0
CEE,Central and Eastern Europe Fund Inc,Financial,Closed-End Fund - Foreign,USA,99140000.0,5.42,15.35,0.0007000000000000001,13788.0
CERS,Cerus Corp,Healthcare,Medical Devices,USA,261890000.0,,1.37,-0.0352,764613.0
CEV,Eaton Vance California Municipal Income Trust,Financial,Closed-End Fund - Debt,USA,67730000.0,12.51,9.63,0.0026,63434.0
CFBK,CF Bankshares Inc,Financial,Banks - Regional,USA,154620000.0,10.5,23.86,0.0029,6198.0
CFSB,CFSB Bancorp Inc,Financial,Banks - Regional,USA,89390000.0,,13.65,-0.0015,3814.0
CGC,Canopy Growth Corporation,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,277560000.0,,1.53,-0.0255,4102878.0
CGCTU,Cartesian Growth Corp III,Financial,Shell Companies,USA,278480000.0,,10.09,0.002,76972.0
CGEN,Compugen Ltd,Healthcare,Biotechnology,Israel,155230000.0,,1.66,-0.046,286070.0
CGO,Calamos Global Total Return Fund,Financial,Closed-End Fund - Equity,USA,112470000.0,3.15,11.45,-0.0017000000000000001,16539.0
CHAR,Charlton Aria Acquisition Corp,Financial,Shell Companies,USA,109820000.0,109.99,10.02,-0.031400000000000004,186.0
CHCI,Comstock Holding Co. Inc,Real Estate,Real Estate Services,USA,101390000.0,6.64,10.07,-0.0308,17923.0
CHEB,Chenghe Acquisition II Co,Financial,Shell Companies,Singapore,81100000.0,,8.61,0.0141,19451.0
CHGG,Chegg Inc,Consumer Defensive,Education & Training Services,USA,156660000.0,,1.47,-0.0637,4030776.0
CHMG,Chemung Financial Corp,Financial,Banks - Regional,USA,231860000.0,10.21,48.4,0.0083,4766.0
CHMI,Cherry Hill Mortgage Investment Corporation,Real Estate,REIT - Mortgage,USA,99110000.0,,2.98,0.0034000000000000002,102523.0
CHN,China Fund Inc,Financial,Closed-End Fund - Foreign,USA,129440000.0,4.82,13.3,0.0,13952.0
CHPGU,ChampionsGate Acquisition Corp,Financial,Shell Companies,USA,67820000.0,,10.1,0.003,178473.0
CHRS,Coherus Oncology Inc,Healthcare,Biotechnology,USA,91630000.0,,0.79,-0.018000000000000002,741430.0
CIA,"Citizens, Inc",Financial,Insurance - Life,USA,177030000.0,20.4,3.53,-0.0711,104782.0
CIGL,Concorde International Group Ltd,Industrials,Security & Protection Services,Singapore,158810000.0,,6.85,-0.068,8932.0
CIK,Credit Suisse Asset Management Income Fund Inc,Financial,Closed-End Fund - Debt,USA,158410000.0,10.32,2.89,-0.0034000000000000002,320998.0
CIO,City Office REIT Inc,Real Estate,REIT - Office,Canada,217540000.0,,5.39,0.0132,104762.0
CLAR,Clarus Corp,Consumer Cyclical,Leisure,USA,137480000.0,,3.58,0.0229,71531.0
